"start_year","N_data","N_years","slope","slope_se","p_value","intercept","intercept_se","intercept_p_value","r_square","adj_r_square","site","trmt","taxa","trophic_level"
2000,24,3,0.114619954266634,0.143972031089399,0.434465625380261,-229.738675783684,288.088058193233,0.433707276211305,0.028003117947639,-0.0161785585092864,"sbcoastal","reef_carp","kelp","producer"
2001,24,3,0.128727720195303,0.166428536342049,0.447475364365178,-258.022535231561,333.18995746716,0.446937118517997,0.0264736366631427,-0.0177775616703508,"sbcoastal","reef_carp","kelp","producer"
2002,24,3,0.129012543137656,0.180541399768907,0.482378546128201,-258.548031055806,361.624453782286,0.48215089765333,0.0226841506575147,-0.0217392970398709,"sbcoastal","reef_carp","kelp","producer"
2003,24,3,0.560734399396005,0.263928303373332,0.0450992026938576,-1123.47572601501,528.912363860407,0.0451403969834446,0.170243470841785,0.132527264970957,"sbcoastal","reef_carp","kelp","producer"
2004,24,3,0.168728837578959,0.336405906180267,0.620957067354895,-337.864909310153,674.493897819265,0.621405026334383,0.0113055274935148,-0.0336351303476892,"sbcoastal","reef_carp","kelp","producer"
2005,24,3,-0.201628404124881,0.403767102931072,0.622477383795873,405.054478937665,809.956875572966,0.62197452087331,0.0112078903456958,-0.0337372055476817,"sbcoastal","reef_carp","kelp","producer"
2006,24,3,0.592192789976368,0.412085917856575,0.164771444849082,-1187.72165729796,827.056505579585,0.165046743314329,0.0858147989514482,0.044260926176514,"sbcoastal","reef_carp","kelp","producer"
2007,24,3,-0.243179652611584,0.387498737415847,0.536750574341879,488.990899196041,778.097529056837,0.53618351260471,0.0175867430093279,-0.0270684050357026,"sbcoastal","reef_carp","kelp","producer"
2008,24,3,-0.961830609488425,0.266857711672345,0.00157513808469482,1932.71842166544,536.117187026778,0.00157230393957136,0.371264258200337,0.342685360845806,"sbcoastal","reef_carp","kelp","producer"
2009,24,3,-0.141460260586515,0.118621536986867,0.245755973639412,284.123633515751,238.429309015499,0.246096669356964,0.0607176946619312,0.0180230444192918,"sbcoastal","reef_carp","kelp","producer"
